Tokens,Cat3
0,0.000000
5,0.000001
5,0.000000
6,0.000000
8,0.000000
9,0.000001
10,0.000001
11,0.000001
12,0.000001
12,0.000001
14,0.000001
15,0.000001
16,0.000002
17,0.000001
18,0.000001
19,0.000002
19,0.000001
21,0.000002
22,0.000002
23,0.000002
24,0.000002
25,0.000002
26,0.000002
27,0.000002
28,0.000003
29,0.000003
30,0.000003
31,0.000002
31,0.000003
32,0.000003
34,0.000003
35,0.000004
36,0.000004
37,0.000003
38,0.000004
39,0.000003
40,0.000004
41,0.000004
42,0.000004
43,0.000004
44,0.000004
45,0.000004
46,0.000005
47,0.000006
48,0.000005
49,0.000005
50,0.000006
50,0.000004
52,0.000005
53,0.000005
54,0.000005
55,0.000005
56,0.000006
57,0.000005
58,0.000006
59,0.000006
60,0.000006
61,0.000006
62,0.000006
63,0.000006
64,0.000006
65,0.000006
66,0.000007
67,0.000006
68,0.000007
68,0.000006
70,0.000008
71,0.000007
72,0.000008
73,0.000007
74,0.000009
75,0.000007
76,0.000007
77,0.000008
78,0.000007
79,0.000009
79,0.000007
81,0.000008
81,0.000007
83,0.000008
83,0.000011
85,0.000012
86,0.000008
87,0.000008
88,0.000008
89,0.000008
90,0.000008
91,0.000010
92,0.000009
93,0.000009
94,0.000009
95,0.000009
96,0.000009
97,0.000009
98,0.000010
99,0.000010
