Tokens,Cat4
0,0.000000
4,0.000000
10,0.000000
20,0.000000
30,0.000000
40,0.001000
50,0.000000
100,0.000000
150,0.000000
200,0.000000
250,0.001000
300,0.000000
350,0.000000
400,0.000000
450,0.001000
500,0.000000
550,0.000000
600,0.000000
650,0.000000
700,0.001000
750,0.001000
800,0.000000
850,0.000000
900,0.000000
950,0.000000
1000,0.001000
1050,0.001000
1100,0.002000
1150,0.001000
1200,0.001000
1250,0.001000
1300,0.000000
1350,0.001000
1400,0.001000
1450,0.001000
1500,0.002000
1550,0.001000
1600,0.002000
1650,0.001000
1700,0.002000
1750,0.001000
1800,0.002000
1850,0.002000
1900,0.002000
1950,0.002000
2000,0.001000
2050,0.002000
2100,0.001000
2150,0.002000
2200,0.002000
2250,0.003000
2300,0.002000
2350,0.002000
2400,0.003000
2450,0.003000
2500,0.004000
2550,0.003000
2600,0.005000
2650,0.004000
2700,0.004000
2750,0.004000
2800,0.004000
2850,0.003000
2900,0.003000
2950,0.003000
3000,0.004000
3050,0.005000
3100,0.005000
3150,0.005000
3200,0.005000
3250,0.004000
3300,0.004000
3350,0.004000
3400,0.006000
3450,0.006000
3500,0.005000
3550,0.005000
3600,0.002000
3650,0.006000
3700,0.005000
3750,0.007000
3800,0.005000
3850,0.007000
3900,0.006000
3950,0.010000
4000,0.007000
4050,0.006000
4100,0.006000
4150,0.006000
4200,0.007000
4250,0.006000
4300,0.008000
4350,0.007000
4400,0.008000
4450,0.007000
4500,0.008000
4550,0.008000
4600,0.008000
4650,0.008000
4700,0.008000
4750,0.008000
4800,0.008000
4850,0.008000
4900,0.010000
4950,0.009000
5000,0.010000
5050,0.011000
5100,0.010000
5150,0.010000
5200,0.009000
5250,0.010000
5300,0.009000
5350,0.011000
5400,0.011000
5450,0.011000
5500,0.014000
5550,0.013000
5600,0.012000
5650,0.012000
5700,0.013000
5750,0.013000
5800,0.012000
5850,0.014000
5900,0.012000
5950,0.011000
6000,0.016000
6050,0.012000
6100,0.013000
6150,0.013000
6200,0.013000
6250,0.016000
6300,0.015000
6350,0.014000
6400,0.014000
6450,0.014000
6500,0.015000
6550,0.015000
6600,0.008000
6650,0.016000
6700,0.016000
6750,0.017000
6800,0.015000
6850,0.017000
6900,0.016000
6950,0.016000
7000,0.017000
7050,0.021000
7100,0.017000
7150,0.020000
7200,0.017000
7250,0.018000
7300,0.019000
7350,0.021000
7400,0.019000
7450,0.019000
7500,0.021000
7550,0.019000
7600,0.019000
7650,0.021000
7700,0.022000
7750,0.023000
7800,0.011000
7850,0.022000
7900,0.021000
7950,0.021000
8000,0.024000
8050,0.022000
8100,0.024000
8150,0.026000
8200,0.023000
8250,0.023000
8300,0.024000
8350,0.024000
8400,0.012000
8450,0.026000
8500,0.025000
8550,0.028000
8600,0.024000
8650,0.027000
8700,0.026000
8750,0.026000
8800,0.025000
8850,0.026000
8900,0.027000
8950,0.029000
9000,0.027000
9050,0.028000
9100,0.028000
9150,0.027000
9200,0.027000
9250,0.030000
9300,0.034000
9350,0.031000
9400,0.029000
9450,0.031000
9500,0.031000
9550,0.032000
9600,0.030000
9650,0.034000
9700,0.033000
9750,0.031000
9800,0.031000
9850,0.031000
9900,0.037000
9950,0.032000
9960,0.033000
9970,0.035000
9980,0.034000
9990,0.032000
9992,0.065000
9996,0.048000
9998,0.034000
