Tokens,Cat2
0,0.000000
5,0.000001
6,0.000001
7,0.000001
8,0.000001
9,0.000002
10,0.000001
11,0.000001
12,0.000001
13,0.000002
14,0.000003
15,0.000002
16,0.000002
17,0.000003
18,0.000002
19,0.000003
20,0.000003
21,0.000003
22,0.000004
23,0.000004
24,0.000003
25,0.000004
26,0.000005
27,0.000003
28,0.000004
29,0.000005
30,0.000006
31,0.000005
32,0.000007
33,0.000005
34,0.000005
35,0.000005
36,0.000007
37,0.000006
38,0.000007
39,0.000005
40,0.000008
41,0.000006
42,0.000007
43,0.000006
44,0.000006
45,0.000008
46,0.000006
47,0.000008
48,0.000007
49,0.000008
50,0.000010
51,0.000011
52,0.000010
53,0.000010
54,0.000010
55,0.000010
56,0.000011
57,0.000010
58,0.000010
59,0.000011
60,0.000012
61,0.000011
62,0.000011
63,0.000012
64,0.000012
65,0.000012
66,0.000013
67,0.000012
68,0.000011
69,0.000012
70,0.000012
71,0.000013
72,0.000014
73,0.000014
74,0.000015
75,0.000013
76,0.000014
77,0.000013
78,0.000013
79,0.000014
80,0.000014
81,0.000014
82,0.000014
83,0.000014
84,0.000015
85,0.000017
86,0.000017
87,0.000014
88,0.000015
89,0.000015
90,0.000017
91,0.000016
92,0.000018
93,0.000020
94,0.000017
95,0.000015
96,0.000016
97,0.000017
98,0.000016
99,0.000016
